,n_voters,acc_gold,std_gold,acc_heuristic,std_heuristic
74,75,0.6772277227722772,1.1102230246251565e-16,0.6495049504950494,1.1102230246251565e-16
75,76,0.6882352941176471,0.0,0.6431372549019609,1.1102230246251565e-16
76,77,0.6873786407766991,0.0,0.6388349514563105,1.1102230246251565e-16
77,78,0.7019230769230769,0.0,0.6346153846153847,1.1102230246251565e-16
78,79,0.6933333333333334,0.0,0.6323809523809524,0.0
79,80,0.6924528301886792,0.0,0.6433962264150942,1.1102230246251565e-16
80,81,0.6878504672897197,0.0,0.6373831775700934,0.0
81,82,0.6925925925925924,1.1102230246251565e-16,0.6444444444444446,1.1102230246251565e-16
82,83,0.6917431192660551,1.1102230246251565e-16,0.655045871559633,0.0
83,84,0.690909090909091,1.1102230246251565e-16,0.6399999999999999,1.1102230246251565e-16
84,85,0.6954954954954955,0.0,0.6414414414414413,1.1102230246251565e-16
