,n_voters,acc_gold,std_gold,acc_heuristic,std_heuristic,acc_borda,std_borda
20,21,0.8263816475495307,1.1102230246251565e-16,0.8312043795620438,0.0,0.8610531803962461,0.0
21,22,0.8346837428123365,1.1102230246251565e-16,0.8314166231050706,0.0,0.8613434396236277,1.1102230246251565e-16
22,23,0.8402777777777779,1.1102230246251565e-16,0.8316299790356394,0.0,0.8615041928721174,0.0
23,24,0.8436678928008409,1.1102230246251565e-16,0.8294797687861271,1.1102230246251565e-16,0.8598265895953757,0.0
24,25,0.8432560590094835,1.1102230246251565e-16,0.8291622760800843,0.0,0.8594573234984194,0.0
25,26,0.8468040147913365,0.0,0.8300316957210775,1.1102230246251565e-16,0.8592181722134178,1.1102230246251565e-16
26,27,0.8237552966101693,1.1102230246251565e-16,0.831302966101695,0.0,0.8610963983050848,0.0
27,28,0.8451938396176313,1.1102230246251565e-16,0.8297928836962294,0.0,0.8596654275092936,0.0
28,29,0.8498402555910542,1.1102230246251565e-16,0.8294728434504792,0.0,0.8586261980830671,0.0
29,30,0.8557127602776294,0.0,0.8283502402562734,0.0,0.8585157501334757,0.0
30,31,0.8511777301927195,0.0,0.8301659528907923,0.0,0.8593415417558885,1.1102230246251565e-16
31,32,0.857890499194847,1.1102230246251565e-16,0.8311862587224906,0.0,0.8596349973161568,0.0
32,33,0.8576426264800862,0.0,0.8310010764262648,0.0,0.8595263724434876,0.0
33,34,0.847814355099838,0.0,0.8302752293577982,0.0,0.860901241230437,1.1102230246251565e-16
34,35,0.8327922077922076,1.1102230246251565e-16,0.8288690476190477,0.0,0.8594426406926405,1.1102230246251565e-16
35,36,0.8446825827455238,1.1102230246251565e-16,0.8285404232230059,0.0,0.858790016277808,1.1102230246251565e-16
36,37,0.846164309031556,0.0,0.8313384113166485,0.0,0.8605821545157781,1.1102230246251565e-16
37,38,0.8406983087834151,0.0,0.8300600109110746,1.1102230246251565e-16,0.86088379705401,1.1102230246251565e-16
38,39,0.8514770240700219,0.0,0.8287746170678337,0.0,0.8589989059080964,1.1102230246251565e-16
39,40,0.8512068019747667,1.1102230246251565e-16,0.8281678551837629,1.1102230246251565e-16,0.8584750411409765,1.1102230246251565e-16
40,41,0.8506600660066008,1.1102230246251565e-16,0.8281078107810782,1.1102230246251565e-16,0.857948294829483,0.0
