,n_rows,acc_gold,std_gold,acc_heuristic,std_heuristic,acc_freedman,std_freedman
88,930,0.875268817204301,0.032329669630909455,0.8365591397849462,0.04031899625645737,0.8774193548387096,0.02664411116852442
89,940,0.8797872340425531,0.01240628062733043,0.8404255319148938,0.015044825131628685,0.8776595744680851,0.0184260724209455
90,950,0.8778947368421053,0.018652679101757223,0.8410526315789474,0.006982367979695557,0.8768421052631579,0.022478059477960676
91,960,0.8760416666666666,0.01292674338124046,0.840625,0.027677771365805067,0.8770833333333332,0.012586506222494357
92,970,0.8793814432989692,0.025586955971115155,0.8412371134020619,0.014724594698026505,0.8783505154639176,0.027392433516673035
93,980,0.8775510204081632,0.018253616142855412,0.8408163265306123,0.022679704868258033,0.8785714285714287,0.01346010812068663
94,990,0.8737373737373737,0.023033846971699776,0.8333333333333334,0.013923281567767861,0.8777777777777779,0.025831741116251333
95,1100,0.8772727272727272,0.009534625892455921,0.8336363636363636,0.024663018120455522,0.8745454545454546,0.015102952478032889
96,1200,0.8741666666666668,0.013794121131039052,0.8316666666666667,0.024381231397212988,0.8733333333333334,0.011960583412006094
97,1300,0.8746153846153847,0.020726451669703803,0.8338461538461539,0.039478853601096445,0.8723076923076925,0.024006902360503422
98,1400,0.8714285714285716,0.018210783977117097,0.8257142857142856,0.028784916685156987,0.872857142857143,0.01669045920792562
99,1500,0.8746666666666668,0.01820866704499689,0.8240000000000001,0.026699979192667717,0.8693333333333333,0.02048305532764961
100,1600,0.875,0.02119478119726646,0.815625,0.02476451594519869,0.8712500000000001,0.023167191241063294
101,1700,0.8729411764705881,0.01816875907232999,0.8258823529411764,0.020747284810056946,0.8723529411764706,0.012967886873557988
102,1800,0.8733333333333334,0.007973722274670707,0.8216666666666665,0.012347839317162702,0.8683333333333334,0.00835183132131828
103,1900,0.8710526315789474,0.013105157471567075,0.8052631578947368,0.020787808061191078,0.8678947368421053,0.015016150123881158
104,2000,0.8710000000000001,0.0060415229867972825,0.8055,0.0143527000944073,0.868,0.005787918451395099
105,2100,0.8709523809523809,0.008571428571428577,0.7885714285714285,0.018032472598820484,0.8685714285714287,0.006966066113489437
106,2200,0.8704545454545455,0.018630819574472008,0.8077272727272728,0.024291616756158874,0.8677272727272726,0.018261190387818777
107,2300,0.8678260869565217,0.010233567213860695,0.8004347826086956,0.021713027807276113,0.8652173913043478,0.010999226644063944
108,2400,0.8633333333333333,0.01838062083342733,0.8054166666666667,0.02026731084502552,0.8654166666666668,0.0157894127679137
109,2500,0.86,0.01019803902718558,0.7971999999999999,0.020341091416145766,0.8628,0.010244998779892567
110,2600,0.8638461538461538,0.015923262726526523,0.7996153846153845,0.019588971658841277,0.8642307692307692,0.01569871663996811
111,2700,0.8618518518518519,0.013486771448913443,0.7985185185185185,0.024938882769677706,0.8640740740740739,0.014468166655277498
112,2800,0.8657142857142857,0.0109147905642401,0.7932142857142858,0.015460614872795285,0.8625,0.012058530725810104
113,2900,0.8668965517241378,0.02123981185439238,0.796896551724138,0.014066260727152497,0.863793103448276,0.023208715407536325
114,3000,0.8666666666666666,0.013207741837439295,0.7993333333333333,0.009463379711052267,0.8633333333333333,0.01278019300845387
115,3100,0.8664516129032259,0.005241315099765139,0.7961290322580645,0.02177359616862738,0.8629032258064516,0.007768770695995035
116,3200,0.8625,0.008615030470056382,0.799375,0.02184372764662664,0.860625,0.010615804844664383
117,3300,0.863939393939394,0.013866740834724276,0.8036363636363637,0.019605849841965835,0.86,0.0145517663073248
118,3400,0.8641176470588234,0.011413887007018984,0.8079411764705883,0.00835004092151667,0.8602941176470589,0.01205523619524659
119,3500,0.8631428571428572,0.01291731949195123,0.826,0.019302109433205202,0.8588571428571429,0.015633558880347953
120,3600,0.8622222222222223,0.01029652944047259,0.8094444444444443,0.015401018084032351,0.8583333333333334,0.007556372504853046
121,3700,0.8616216216216216,0.006542550506437961,0.8194594594594594,0.004407974710891913,0.8575675675675676,0.0038791081336235966
122,3800,0.8621052631578948,0.007461814146714622,0.8202631578947368,0.008985984778402034,0.8578947368421052,0.010460319428606193
123,3900,0.8615384615384615,0.0105409255338946,0.815128205128205,0.008558112445271064,0.8574358974358974,0.010140369196556512
124,4000,0.8619999999999999,0.0037583240945932594,0.81425,0.015362291495737191,0.85775,0.0052081666639999125
125,4100,0.8624390243902438,0.008463098328242678,0.8207317073170731,0.015231702435118016,0.8580487804878049,0.00788827396526646
126,4200,0.8638095238095238,0.0074763421276703,0.8161904761904761,0.007245297168906136,0.8588095238095239,0.009747375947837493
127,4300,0.8639534883720931,0.008156129263604758,0.8186046511627907,0.010957413013385804,0.8586046511627906,0.009577330363708857
128,4400,0.8647727272727274,0.005704500180914156,0.821590909090909,0.008947736220467982,0.8595454545454546,0.007558313249234478
129,4500,0.8651111111111109,0.00862382573863655,0.8251111111111111,0.012082024194727288,0.86,0.009558139185602926
130,4600,0.8647826086956523,0.012232004257943655,0.8245652173913044,0.02128437395530312,0.86,0.01122042426135993
131,4700,0.8646808510638297,0.005919330954571727,0.8257446808510638,0.013191489361702155,0.8595744680851063,0.00740107537486218
132,4800,0.8658333333333333,0.006468406123441663,0.8166666666666668,0.013866301076911444,0.8608333333333335,0.006441510347391782
133,4900,0.8651020408163266,0.008522699190947378,0.8275510204081632,0.017966139654754104,0.860204081632653,0.007157419557857223
134,5000,0.8628,0.010127191120937738,0.8178000000000001,0.013789851340750538,0.8602000000000001,0.008447484832777158
135,5100,0.864313725490196,0.01098039215686276,0.812156862745098,0.009456592589637217,0.8601960784313725,0.010405097381507147
136,5200,0.8638461538461538,0.01112396527998429,0.814423076923077,0.005231334811052074,0.8601923076923077,0.010295199087941676
137,5300,0.8601886792452831,0.015134380852947507,0.8088679245283018,0.00940751008476825,0.8592452830188678,0.013104721022026667
138,5400,0.8624074074074075,0.01220818498062925,0.8098148148148148,0.01325853505160648,0.859074074074074,0.009413529649732478
139,5500,0.8594545454545456,0.01285134330696167,0.8038181818181818,0.017547103078465135,0.858,0.011345804190416498
140,5600,0.8610714285714286,0.014292409145545528,0.8023214285714285,0.010512990021096458,0.8580357142857142,0.014757823936710277
141,5700,0.8617543859649123,0.014830529266953033,0.8177192982456141,0.014807682698953831,0.8585964912280701,0.01259497620757724
142,5800,0.8613793103448277,0.01653195658671462,0.8120689655172413,0.030721602898630077,0.8582758620689657,0.015618443927783807
