,n_rows,acc_gold,std_gold,acc_heuristic,std_heuristic
138,5400,0.689074074074074,0.015230285329594149,0.6655555555555555,0.014059446589705435
139,5500,0.6874545454545455,0.01371974507630071,0.6638181818181819,0.011345804190416503
140,5600,0.6933928571428571,0.017978161355218895,0.6628571428571428,0.01807545127446368
141,5700,0.6892982456140351,0.016187954209715468,0.6666666666666667,0.012939711519007554
142,5800,0.6893103448275862,0.004771845690723486,0.665,0.013114786383266606
143,5900,0.6876271186440678,0.014674481913161612,0.6649152542372881,0.009626760556720619
144,6000,0.6836666666666666,0.009258629608220766,0.6663333333333334,0.012208831047874956
145,6100,0.6881967213114754,0.005645631264827082,0.6663934426229507,0.0017958116639513824
146,6200,0.6833870967741935,0.010183028463009442,0.6662903225806451,0.007989978113871513
147,6300,0.6887301587301587,0.007434945034051002,0.6666666666666666,0.008908708063747474
148,6400,0.6846875,0.00836484925895259,0.6665625000000001,0.008520998877772466
149,6500,0.6815384615384614,0.005838051064926239,0.67,0.013517466237839268
150,6600,0.6837878787878788,0.015351707759382245,0.6681818181818182,0.009618527423093286
151,6700,0.6897014925373133,0.00982583915858675,0.67,0.007101717763206172
152,6800,0.6897058823529412,0.006116657159730985,0.6679411764705883,0.005572733918087213
153,6900,0.6866666666666668,0.009343050122484767,0.6673913043478261,0.008108174336637308
154,7000,0.6847142857142857,0.010800604669391893,0.6687142857142857,0.010559839207186473
155,7100,0.684225352112676,0.015212571670757326,0.6692957746478874,0.014312243341363636
156,7200,0.6859722222222222,0.007775297223487976,0.6691666666666667,0.009953596037316065
157,7300,0.6868493150684931,0.008786365868944991,0.6642465753424658,0.016377742128579557
158,7400,0.6928378378378378,0.006475215432816719,0.665945945945946,0.005381704797767534
159,7500,0.6916,0.009803400770480957,0.6656000000000001,0.0033359989341858265
160,7600,0.6917105263157894,0.007093069458917641,0.6681578947368421,0.010637569963898804
161,7700,0.6933766233766233,0.010657266617625257,0.6685714285714285,0.009379464979359865
162,7800,0.6879487179487179,0.01288700704936316,0.6662820512820513,0.01084527486284954
163,7900,0.6954430379746835,0.007006760761062295,0.6684810126582279,0.006666933712538581
164,8000,0.697625,0.006051859218455102,0.669625,0.012428545771730517
165,8100,0.6912345679012347,0.007908946853356533,0.6685185185185186,0.004502366056496406
166,8200,0.697439024390244,0.009713320854507239,0.6703658536585366,0.012989951729126821
167,8300,0.6948192771084337,0.006067314849163432,0.6719277108433735,0.0066276012238434285
168,8400,0.7010714285714286,0.006132974701138725,0.6715476190476192,0.0103468750417337
169,8500,0.6945882352941176,0.0034178444814903395,0.672235294117647,0.010412927818051223
170,8600,0.6991860465116279,0.009959354932727387,0.6690697674418604,0.007366992586724247
